id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,level_measurement_id,measurement_unit_id,e_d_change,baseline,max_p_value,min_p_value,form_type,form_id,added_by,added_datetime,ip_address,status
211,3,2,3,8,19,2,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
212,3,2,3,8,20,2,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
213,3,2,3,9,21,4,12,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
214,3,3,4,10,22,2,36,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
215,3,3,4,11,23,3,5,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
216,3,3,4,11,24,2,5,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
217,3,3,4,11,25,2,31,0,5,94,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
218,3,3,4,12,26,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
219,3,3,4,12,27,2,34,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
220,3,3,4,12,28,2,39,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
221,3,3,4,12,29,1,39,0,0,0,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
222,3,3,4,13,30,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
223,3,3,4,13,31,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
224,3,3,4,13,32,2,11,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
225,3,3,4,14,33,1,22,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
226,3,3,4,14,34,1,22,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
227,3,3,4,15,35,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
228,3,3,4,15,36,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
229,3,3,4,15,37,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
230,3,3,4,15,38,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
231,3,3,4,15,39,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
232,3,3,4,15,40,2,28,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
233,3,3,5,16,41,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
234,3,3,5,16,42,4,10,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
235,3,3,5,16,43,4,26,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
236,3,3,5,17,44,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
237,3,3,5,17,45,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
238,3,3,5,17,46,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
239,3,3,5,17,47,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
240,3,3,5,18,48,3,30,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
241,3,3,5,18,49,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
242,3,3,5,18,50,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
243,3,3,5,18,51,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
244,3,3,5,19,52,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
245,3,3,5,19,53,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
246,3,3,5,19,54,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
247,3,3,5,19,55,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
248,3,3,5,19,56,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
249,3,3,5,20,57,2,24,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
250,3,3,6,21,58,4,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
251,3,3,6,21,59,1,32,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
252,3,3,6,21,60,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
253,3,3,6,21,61,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
254,3,3,6,21,62,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
255,3,3,6,21,63,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
256,3,3,6,22,64,2,1,0,0,5,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
257,3,3,6,23,65,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
258,3,3,6,24,66,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
259,3,3,6,24,67,2,16,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
260,3,3,6,24,68,2,35,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
261,3,3,6,25,69,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
